temperatura_real,temperatura_predicha
19.0,18.981099547954283
18.0,18.00052536596962
16.6,16.765129978989556
17.0,16.917574145011002
17.0,17.08050024797988
17.0,17.01649429776926
16.0,16.00730753245517
16.0,16.002896298940556
16.0,16.00047133615776
16.0,16.00047133615776
16.0,16.00047133615776
15.0,15.003659630450569
16.0,15.965967349142865
18.0,17.985961388534662
20.0,20.060631839414214
20.0,19.96114506408822
21.0,21.021585226643186
23.0,23.041986090597458
25.0,25.03535206348411
25.0,25.019941585603757
25.0,25.014757451714786
25.0,25.013924867168637
22.0,21.967436346384652
21.0,20.98273732700275
19.0,18.958477819528568
18.0,18.002200400665153
17.2,17.262948010943187
16.5,16.477323031956384
16.0,15.94585298053112
15.0,15.000243510669883
14.0,13.989828286749043
14.0,14.005137177998051
12.0,11.95567927197153
11.0,10.964907895530766
11.0,11.014877294897019
13.0,12.946719120599168
14.0,14.048316201971438
15.0,14.947108146000812
17.0,17.033804272820078
19.0,18.992970394157318
21.0,21.062788434916403
22.0,22.05349785590759
25.0,25.03840214691793
24.0,24.07031314275525
25.0,24.97513191309691
25.0,25.015067929387076
23.0,22.910112731269013
22.0,22.01048378327942
15.0,14.813289687669547
17.9,17.73944285657002
17.0,17.10890806041926
16.9,16.93530441712229
16.0,16.07479263791742
16.0,16.000461653027948
16.0,16.000418209342946
15.0,15.004446839702755
15.0,15.005523510462378
15.0,15.004814572797363
14.0,13.989545122032505
14.0,14.005386762070401
15.0,14.946283759235008
16.0,16.0124462336295
16.0,15.998476463997408
17.0,16.981153941573123
18.0,18.05462266901386
19.0,19.000629696690105
21.0,21.057942093261072
23.0,23.041012767887143
23.0,23.01126588295513
23.0,22.999958088749604
22.0,21.993138328553343
20.0,19.98529566275959
19.0,18.977958381559755
18.0,18.005195685903136
17.0,16.98658531741962
16.0,16.000356289877224
15.0,15.003930753731398
15.0,15.006124016504875
15.0,15.004761445982549
15.0,15.004761445982549
14.0,13.98949199521769
14.0,14.005333635255587
14.0,14.00192169181332
14.0,14.00192169181332
14.0,14.00192169181332
15.0,14.948995058228919
16.0,16.012903298202026
17.0,16.99219476814878
18.0,18.053736045805294
19.0,18.999323937755253
20.0,20.00176456628266
21.0,21.024017245605524
20.0,20.035318626260636
20.0,20.00141880106691
19.0,18.982593074032504
18.0,18.003750898006523
16.0,16.00476019547296
15.0,15.005441232140447
15.0,15.00552966888255
15.0,15.004761445982549
15.0,15.004761445982549
15.0,15.005676059413574
14.0,13.989447199841395
13.0,13.005953786056182
13.0,13.008911977712232
12.0,12.015884582434587
11.0,10.963476362474086
11.0,11.01477937270591
12.0,12.042641529515484
14.0,13.994767095319723
16.0,15.995406002479047
18.0,17.989550692477618
20.0,20.065925978340537
21.0,21.022420462105952
22.0,22.053453060531297
23.0,22.97234106180196
23.0,23.011686321491062
23.0,23.001224160771205
22.0,21.997670292967694
22.0,22.025941960018667
19.0,19.019368329921875
19.0,18.982061014264396
16.0,15.923356337278669
15.0,15.004933767509012
13.0,13.022207956448627
12.0,12.018636051933656
10.0,10.02895555613668
9.0,9.001358657243104
9.0,9.01633635487825
7.0,7.063448410069142
7.0,7.069359326535083
5.0,5.108835508736404
7.0,7.341590670704079
12.0,12.013151103761588
14.0,13.994580476572398
16.0,15.99601456905988
19.0,19.00033181886538
20.0,19.997993980974144
22.0,22.0590746385838
23.0,22.96915607393841
24.0,24.05448206494263
24.0,23.991895214726437
22.0,22.000972036569376
22.0,21.96568364193203
20.1,20.139149224173753
18.0,18.007520459962677
18.0,17.998365691548404
17.0,16.9942902235456
16.0,16.000712724772765
15.0,15.004888972132717
13.0,13.021854291764996
13.4,13.467127796055838
9.0,9.08373481963509
8.0,7.960934028980977
8.0,7.9023403409978386
7.0,6.976834267179313
9.0,8.976792086581566
11.0,11.000474579612025
15.0,14.913375609560957
19.0,19.00922687175594
22.0,21.986837288292723
23.0,22.968598813106933
24.0,24.05601262525884
26.0,25.995348530142863
25.3,25.598144107047567
26.0,26.187631943139788
25.0,25.08096558144139
25.0,25.005082211815093
23.0,22.89012981560382
21.0,20.9568262089491
18.6,18.568394756834564
18.0,17.940326501859946
17.0,16.982571396048026
16.0,16.000757520149058
15.0,15.004933767509012
12.0,11.99197882309266
13.5,13.609099740990201
10.0,10.088446497923686
9.0,9.005972238918917
7.0,6.936818572266878
8.0,7.893118090954683
